cinecurator,"A THOUSAND TIMES YES https://t.co/B5D6xRnXUm","Thu Sep 07 19:29:04 EDT 2017","null"
clgrenhart,"RT @InternetHippo: me: hi do you take walk-ins

the morgue: what","Thu Sep 07 19:29:04 EDT 2017","null"
JanetLJohn,"@MichelleObama At least you never had to wear a FLOTUS hat so people knew who you were. These are how #real #presidents act.","Thu Sep 07 19:29:04 EDT 2017","null"
jxdeetyraaa,"RT @bbydali_: hi ladies, public service announcement: 
the pink flower filter has returned to snap x","Thu Sep 07 19:29:04 EDT 2017","null"
kasssmichelle,"Devilish eyes, you can tell that I'm hi","Thu Sep 07 19:29:05 EDT 2017","null"
america_writer1,"@I_AM_DOBBY Hello,We will be happy to serve you in this. The least you can expect is an A+ score in the paper
Kindly DM for assistance.","Thu Sep 07 19:29:05 EDT 2017","null"
TheRiffRepeater,"Hello friends, no code to raffle yet, sorry! https://t.co/OQ4DQB576o","Thu Sep 07 19:29:05 EDT 2017","null"
surrealboy,"@KrissyLynnxxx Hi Krissy, I can't remember exactly that last email... Thanks. Sure. I'll email you soon. Next week it's fine? Best. :)","Thu Sep 07 19:29:05 EDT 2017","null"
AnumKamran5,"RT @gvimmi: boy: hi
me: https://t.co/QetxAJk5C3","Thu Sep 07 19:29:02 EDT 2017","null"
relloupnext,"RT @VIBEZ_419: Media: What about Isaiah Thomas' hi..."

Koby Altman: https://t.co/ZIUBr0ycTj","Thu Sep 07 19:29:03 EDT 2017","null"
Geopathology,"Hello @702Aubrey,
we need A #REAL #INPUT in to this and not (#Head_in_Sand) #OstrichPolitics, as usual!... https://t.co/qbRK0QY5ib","Thu Sep 07 19:29:05 EDT 2017","null"
air_isbreath,"RT @BlueMoonRiver_: ?You kinda dressed revealingly but come say hi for a moment
?No right now I'm ugly
?It's before CK washes up so he… ","Thu Sep 07 19:29:03 EDT 2017","null"
SamDGrover,"@NathanaelSmith you're bad at this

why do i always forget how bad you are at this","Thu Sep 07 19:29:05 EDT 2017","null"
geoffrey_payne,"@eveyaus @MCLocchi @MajellaTess @billshortenmp I might accept that for 2013 election (altho not really) but the 2nd… https://t.co/W81BUvi42j","Thu Sep 07 19:29:05 EDT 2017","null"
